UPC,"Custom SKU
Item Number","Manufactrure SKU
Item Name (style number)",Description (Item Name),Feature Images,Front Image,Right Side Image,Left Side Image,Back Images,MSRP,"Default cost
Average Unit Cost", Price,Tax (Yes/No),Tags,"Category
Department Name",Sub Category,Sub Category 2,Sub Category 3,Manufacturer,Vendor ,Reorder Point ,Desired Inventory Level,Matrix Group: Name,Matrix Group: Matrix Type,"Matrix Group: Color 
Attribute",Matrix Group:Size,Serialized Item (Yes/No),"Shop 1 Qty on Hand 
HQ",Shop 2 Qyt on Hand DB,Shop 3 Qyt on Hand PPDM,Shop 4 Qyt on Hand LC,Shop 5 Qyt on Hand COR,Shop 6 Qyt on Hand Qty 3,Shop 7 Qyt on Hand Qty 6,Shop 8 Qyt on Hand Lilly HQ,Shop 9 Qyt on Hand Lilly,Shop 10 Qyt on Hand AZ Qty 1,Shop 11 Qyt on Hand Sum,Shop 12 Qyt on Hand Qty AZ 3,Shop 13 Qyt on Hand DBAZ,Shop 13 Qty on Hand HPK,Shop 13 Qty on Hand RAE
,124413,00171,,,,,,,0,16,48,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry ,Necklace,,,,Vidda,0,2,,Single,,,Yes,,,,,,,,,,0,0,0,0,9,0
,49759,00171,,,,,,,0,16,48,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry,Necklace,,,,Vidda,0,2,,Single,,,Yes,0,0,6,0,0,0,0,,,,,,,,
,124412,124408,,,,,,,0,29,78,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry ,Necklace,,,,Vidda,0,2,,Single,,,Yes,0,0,0,0,0,0,0,0,0,2,2,2,10,2,2
,49758,49754,,,,,,,0,29,78,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry,Necklace,,,,Vidda,0,2,,Single,,,Yes,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,124411,00154,,,,,,,0,37,98,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry ,Necklace,,,,Vidda,0,2,,Single,,,Yes,,,,,,,,,,4,4,4,4,4,4
,49757,00154,,,,,,,0,37,98,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry,Necklace,,,,Vidda,0,2,,Single,,,Yes,3,3,3,3,3,3,3,,,,,,,,
0883268485075,73324,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Geranium,O/S,Yes,0,3,0,0,0,0,0,,,,,,,,
0883268408920,73582,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Coastal,O/S,Yes,0,3,0,0,0,0,0,,,,,,,,
0883268393615,67222,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Ballet,O/S,Yes,0,2,0,0,0,0,0,,,,,,,,
0883268318182,63421,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Champagne,O/S,Yes,0,1,0,0,0,0,0,,,,,,,,
0883268289581,47079,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Skylight,O/S,Yes,0,0,0,0,0,0,0,,,,,,,,
0883268289567,73583,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Olive,O/S,Yes,0,3,0,0,0,0,0,,,,,,,,
0883268028272,47078,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Whisper,O/S,Yes,0,0,0,0,0,0,0,,,,,,,,
0883246656183,53668,0011,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,Michael Stars,0,2,,Single,Serene,O/S,Yes,0,0,0,0,0,0,0,,,,,,,,
0673019807283,134850,40348,,,,,,,0,28,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,michael stars,0,2,,Single,WHT,O/S,Yes,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0673019802608,134849,40347,,,,,,,0,28.09393,62,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Top,Short Sleeve,,,,michael stars,0,2,,Single,BLK,O/S,Yes,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,124407,00107,,,,,,,0,35,92,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry ,Necklace,,,,Vidda,0,2,,Single,,,Yes,,,,,,,,,,0,0,0,0,0,0
,49753,00107,,,,,,,0,35,92,Yes,"women, clothing, fashion, jewelry, accessories, gifts, beauty, travel, designer, shorts, dress, skirt, pants, jeans, colors, patterns, jackets, coats, california, arizona, usa, pajamas, purse, bag, cards, wall art, decor, shop, shopping, gift",Jewelry,Necklace,,,,Vidda,0,2,,Single,,,Yes,0,0,0,0,0,0,0,,,,,,,,
